run,strategy,t,ndcg,rd,lss,ptkr,conv,sigma
18,Random,5,0.9993317656418581,0.03,1.0,0.0,0.05,0.04423258684646915
18,Random,6,0.9997635406553285,0.0,1.0,0.0,0.0,0.040451991747794534
18,Random,7,0.9989722354179251,0.05500000000000001,1.0,0.0,0.15,0.0375
18,Random,8,0.9992521949638258,0.04,1.0,0.0,0.05,0.03511234415883917
18,Random,9,0.9993606354870961,0.005,1.0,0.0,0.1,0.03312945782245395
18,Random,10,0.9997635406553285,0.0,1.0,0.0,0.0,0.031448545101657545
18,Random,11,0.9994519918542831,0.005,1.0,0.0,0.1,0.030000000000000006
18,Random,12,0.9997635406553285,0.0,1.0,0.0,0.15,0.028734788556634548
18,Random,13,0.999491705777983,0.02,1.0,0.0,0.05,0.027617238536949706
18,Random,14,0.9970323370717319,0.16,1.0,0.0,0.05,0.026620695282483415
18,Random,15,0.9991650564605303,0.075,1.0,0.0,0.15,0.02572478777137633
18,Random,16,0.9995022618596984,0.025,1.0,0.0,0.15,0.024913643956121993
18,Random,17,0.9994592304726704,0.02,1.0,0.0,0.2,0.02417468892076141
18,Random,18,0.9995032520829022,0.08,1.0,0.0,0.15,0.023497813499638733
18,Random,19,0.9992958421334309,0.03,1.0,0.0,0.05,0.022874785549890704
18,Random,20,0.9981236013650208,0.05500000000000001,1.0,0.0,0.1,0.02229882438741499
18,Random,21,0.9997635406553285,0.0,1.0,0.0,0.05,0.021764287503300346
18,Random,22,0.9991788107058015,0.04,1.0,0.0,0.15,0.021266436150250083
18,Random,23,0.9997600353288943,0.045,1.0,0.0,0.1,0.02080125735844609
18,Random,24,0.9966397517047966,0.165,1.0,0.0,0.1,0.020365326999063918
18,Random,25,0.9983786740488803,0.12,1.0,0.0,0.1,0.01995570315713218
18,Random,26,0.9980544150866949,0.05500000000000001,1.0,0.0,0.05,0.019569842191603272
18,Random,27,0.9993606354870961,0.005,1.0,0.0,0.05,0.0192055319899344
18,Random,28,0.997542577517607,0.125,1.0,0.0,0.05,0.018860838403857945
18,Random,29,0.9986950613976424,0.075,1.0,0.0,0.0,0.018534061896456462
18,Random,30,0.9986722975656827,0.075,1.0,0.0,0.05,0.01822370217692361
18,Random,31,0.9986974861961742,0.06,1.0,0.0,0.05,0.017928429140015904
18,Random,32,0.9985408212420955,0.12000000000000002,1.0,0.0,0.1,0.01764705882352941
18,Random,33,0.9987814159783881,0.05500000000000001,1.0,0.0,0.0,0.017378533390904772
18,Random,34,0.9991330903134292,0.034999999999999996,1.0,0.0,0.0,0.017121904366060488
18,Random,35,0.9995190060484846,0.02,1.0,0.0,0.0,0.016876318513890362
18,Random,36,0.9983737596809504,0.075,1.0,0.0,0.0,0.016641005886756877
18,Random,37,0.9997635406553285,0.0,1.0,0.0,0.2,0.01641526965493749
18,Random,38,0.999942550555922,0.04,1.0,0.0,0.2,0.01619847741468117
18,Random,39,0.999573733875029,0.015,1.0,0.0,0.05,0.015990053726670783
18,Random,40,0.9982003599638875,0.05,1.0,0.0,0.25,0.015789473684210527
18,Random,41,0.9998018002391038,0.005,1.0,0.0,0.25,0.01559625734730109
18,Random,42,0.9994149150146108,0.034999999999999996,1.0,0.0,0.0,0.015409964908125424
18,Random,43,0.9986280428912264,0.075,1.0,0.0,0.0,0.01523019247700429
18,Random,44,0.9999225942533065,0.03,1.0,0.0,0.1,0.01505656839685487
18,Random,45,0.9997635406553285,0.0,1.0,0.0,0.05,0.014888750009563956
18,Random,46,0.9991323802447122,0.04,1.0,0.0,0.15,0.01472642081021448
18,Random,47,0.9995545357458221,0.03,1.0,0.0,0.05,0.014569287935358962
18,Random,48,0.9981590165080882,0.11499999999999999,1.0,0.0,0.2,0.014417079939966385
18,Random,49,0.998825514797154,0.075,1.0,0.0,0.15,0.014269544824634823
18,Random,50,0.9989984934715933,0.02,1.0,0.0,0.0,0.014126448280440334
18,Random,51,0.9986048203554647,0.065,1.0,0.0,0.2,0.013987572123604705
18,Random,52,0.9973697597304193,0.11000000000000001,1.0,0.0,0.15,0.013852712896188304
18,Random,53,0.9982625536527969,0.05,1.0,0.0,0.1,0.013721680612390447
18,Random,54,0.9997635406553285,0.0,1.0,0.0,0.2,0.013594297632883315
18,Random,55,0.9995163749467288,0.06,1.0,0.0,0.1,0.013470397652008118
18,Random,56,0.999370869712819,0.04,1.0,0.0,0.2,0.013349824784699543
18,Random,57,0.9986427770945874,0.06000000000000001,1.0,0.0,0.15,0.013232432741736928
18,Random,58,0.9977054099816819,0.06,1.0,0.0,0.1,0.013118084083398785
18,Random,59,0.9984179033614975,0.1,1.0,0.0,0.2,0.013006649542861801
18,Random,60,0.9992095042531058,0.03,1.0,0.0,0.15,0.012898007411770435
19,Naive,0,0.9985796767648228,0.0,1.0,0.0,0.0,0.29999999999999993
19,Naive,1,0.9979135519279343,0.37,1.0,0.45,0.4,0.0948683298050514
19,Naive,2,0.9996080269407319,0.15,1.0,0.0,0.45,0.06882472016116851
19,Naive,3,0.9987882891994925,0.23500000000000001,1.0,0.0,0.4,0.056694670951384085
19,Naive,4,0.9995964226622513,0.215,1.0,0.0,0.7,0.049319696191607185
19,Naive,5,0.9994199135188973,0.21999999999999997,1.0,0.0,0.5,0.04423258684646915
19,Naive,6,0.9988732814703226,0.19,1.0,0.0,0.6,0.040451991747794534
19,Naive,7,0.9995338589042053,0.31,1.0,0.0,0.55,0.0375
19,Naive,8,0.9996270138323873,0.19999999999999998,1.0,0.0,0.65,0.03511234415883917
19,Naive,9,0.9996822305055755,0.255,1.0,0.0,0.8,0.03312945782245395
19,Naive,10,0.9993947673932349,0.22999999999999998,1.0,0.0,0.7,0.031448545101657545
19,Naive,11,0.999864456753976,0.225,1.0,0.0,0.75,0.030000000000000006
19,Naive,12,0.9997483219678808,0.19,1.0,0.0,0.75,0.028734788556634548
19,Naive,13,0.9996975409973002,0.18,1.0,0.0,0.75,0.027617238536949706
19,Naive,14,0.9995121032013582,0.255,1.0,0.0,0.7,0.026620695282483415
19,Naive,15,0.9995821181976854,0.27,1.0,0.0,0.65,0.02572478777137633
19,Naive,16,0.9998040293728512,0.225,1.0,0.0,0.8,0.024913643956121993
19,Naive,17,0.9999763341728405,0.21000000000000002,1.0,0.0,0.7,0.02417468892076141
19,Naive,18,0.9997994758706577,0.16999999999999998,1.0,0.0,0.65,0.023497813499638733
19,Naive,19,0.9997864799041272,0.255,1.0,0.0,0.75,0.022874785549890704
19,Naive,20,0.9999334345902289,0.19,1.0,0.0,0.6,0.02229882438741499
19,Naive,21,0.9998427819411548,0.20999999999999996,1.0,0.0,0.85,0.021764287503300346
19,Naive,22,0.9997737226813239,0.175,1.0,0.0,0.8,0.021266436150250083
19,Naive,23,0.999794072099699,0.16,1.0,0.0,0.75,0.02080125735844609
19,Naive,24,0.9999431489185057,0.21500000000000002,1.0,0.0,0.8,0.020365326999063918
19,Naive,25,0.999513910543366,0.26,1.0,0.0,0.7,0.01995570315713218
19,Naive,26,0.9999268365328341,0.225,1.0,0.0,0.95,0.019569842191603272
19,Naive,27,0.9998544270368204,0.18,1.0,0.0,0.8,0.0192055319899344
19,Naive,28,0.9998129881474711,0.185,1.0,0.0,0.85,0.018860838403857945
19,Naive,29,0.9999075193126064,0.185,1.0,0.0,0.7,0.018534061896456462
19,Naive,30,0.9997855905824451,0.24500000000000002,1.0,0.0,0.75,0.01822370217692361
19,Naive,31,0.9998853915170016,0.225,1.0,0.0,0.85,0.017928429140015904
19,Naive,32,0.9998844606715196,0.24,1.0,0.0,0.8,0.01764705882352941
19,Naive,33,0.9999452752678074,0.175,1.0,0.0,0.95,0.017378533390904772
19,Naive,34,0.9998368056678656,0.19499999999999998,1.0,0.0,0.95,0.017121904366060488
19,Naive,35,0.9999427470883875,0.21000000000000002,1.0,0.0,0.75,0.016876318513890362
19,Naive,36,0.999939556827124,0.22000000000000003,1.0,0.0,0.8,0.016641005886756877
19,Naive,37,0.999965347821308,0.175,1.0,0.0,0.9,0.01641526965493749
19,Naive,38,0.9999437255998117,0.185,1.0,0.0,0.9,0.01619847741468117
19,Naive,39,0.9999583521585889,0.13999999999999999,1.0,0.0,0.8,0.015990053726670783
19,Naive,40,0.9999705698716003,0.195,1.0,0.0,0.9,0.015789473684210527
19,Naive,41,0.9999358947900021,0.195,1.0,0.0,0.8,0.01559625734730109
19,Naive,42,0.9999265522390062,0.22000000000000003,1.0,0.0,0.95,0.015409964908125424
19,Naive,43,0.9999633382029561,0.22000000000000003,1.0,0.0,0.8,0.01523019247700429
19,Naive,44,0.9999074740332698,0.185,1.0,0.0,0.85,0.01505656839685487
19,Naive,45,0.9998666031237938,0.2,1.0,0.0,0.8,0.014888750009563956
19,Naive,46,0.9996385082832839,0.22499999999999995,1.0,0.0,1.0,0.01472642081021448
19,Naive,47,0.9998654540005425,0.21000000000000002,1.0,0.0,0.9,0.014569287935358962
19,Naive,48,0.999750723023808,0.23499999999999996,1.0,0.0,0.9,0.014417079939966385
